WirelessDeviceId,SequenceNumber,TotalLength,SourceAddress,Range,Status,Event,SenVal,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,LogIndex,Time,Events,PowerSrc,BatteryVolt,Time
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,224,88,null,0,0,0,27500,0,4,5,4,-5,0,11,0,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670019237,0,2,3503,1670019238
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,225,88,null,0,0,0,27437,0,5,5,4,2,218,8,0,1,0,5,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670020137,0,2,3503,1670020138
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,226,88,null,0,0,0,27375,0,4,5,4,-9,419,10,0,1,0,5,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,1670021037,0,2,3503,1670021038
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,227,88,null,0,0,0,27375,0,5,5,4,5,213,3,0,1,0,5,4,3,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670021937,0,2,3503,1670021938
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,228,88,null,0,0,0,27312,0,5,5,4,-14,0,11,0,1,0,4,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670022837,0,2,3503,1670022838
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,229,88,null,0,0,0,27250,0,5,5,4,-10,284,7,0,1,0,4,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670023737,0,2,3503,1670023738
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,230,88,null,0,0,0,27187,0,6,5,4,-5,0,9,0,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670024637,0,2,3503,1670024638
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,231,88,null,0,0,0,27125,0,5,5,4,-16,268,7,0,1,0,5,4,3,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670025538,0,2,3503,1670025538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,232,88,null,0,0,0,27062,0,6,5,4,-6,24,7,0,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670026438,0,2,3503,1670026439
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,233,88,null,0,0,0,27000,0,6,4,3,-4,175,9,0,1,0,6,5,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1670027337,0,2,3503,1670027338
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,234,88,null,0,0,0,27000,0,5,5,4,-14,166,0,0,1,0,5,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670028237,0,2,3503,1670028238
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,235,88,null,0,0,0,26937,0,4,5,4,-14,0,12,0,1,0,6,4,3,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670029137,0,2,3503,1670029138
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,236,88,null,0,0,0,26937,0,4,5,4,-5,95,-1,0,1,0,5,4,3,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670030037,0,2,3503,1670030038
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,237,88,null,0,0,0,26937,0,6,5,4,0,185,7,0,1,0,7,4,3,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670030937,0,2,3503,1670030938
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,238,88,null,0,0,0,26875,0,4,5,4,0,23,0,0,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670031837,0,2,3503,1670031838
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,239,88,null,0,0,0,26875,0,6,4,3,-4,75,-1,0,2,0,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670032737,0,2,3503,1670032738
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,240,88,null,0,0,0,26875,0,5,4,3,-5,25,2,0,1,0,4,4,3,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670033637,0,2,3503,1670033638
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,241,88,null,0,0,0,26875,0,6,5,4,-1,123,3,0,1,0,4,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670034537,0,2,3503,1670034538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,242,88,null,0,0,0,26875,0,6,5,4,8,0,0,0,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670035437,0,2,3503,1670035438
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,243,88,null,0,0,0,26937,0,5,5,4,-15,123,10,0,1,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670036337,0,2,3503,1670036338
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,244,88,null,0,0,0,27000,0,5,5,4,-17,48,9,0,1,0,7,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670037237,0,2,3503,1670037238
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,245,88,null,0,0,0,27062,0,7,5,4,-19,164,3,0,2,0,7,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670038138,0,2,3503,1670038138
